,Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Distance to Station,Rating,Likes
0,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Tatte Bakery & Cafe,42.35845066983387,-71.05798060378322,Bakery,5c95073698fbfc002c2847c1,175.79640155505797,9.0,32
1,MBTA Government Center Station,42.35960536922291,-71.05943986778493,sweetgreen,42.357703617205935,-71.0587126799328,Salad Place,572b7990498e53c1a5b9b2d2,219.57771192041693,8.8,83
2,MBTA Government Center Station,42.35960536922291,-71.05943986778493,haley.henry,42.357573626985655,-71.05949493285475,Restaurant,57a50fbc498e6c05045175fa,225.7320274991836,8.8,55
3,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Ruth's Chris Steak House,42.358125,-71.059337,Steakhouse,525da4dd498eb92d634abc6f,164.6580240333269,8.7,156
4,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Zo,42.359303326648295,-71.06035233177231,Greek Restaurant,4b4f6a57f964a520930527e3,82.31892062252234,8.6,39
5,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Faneuil Hall Marketplace,42.359977505576424,-71.05641034076862,Historic Site,4b3d563ff964a520a49225e3,252.97982998492492,8.9,1202
6,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Saus Restaurant,42.36107632380333,-71.0570542078555,Belgian Restaurant,4bf18c843506ef3bea63bd22,255.58463769433888,8.9,369
7,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Boston Athenaeum,42.35748053766697,-71.06183760036927,Library,4a4a438ff964a520a0ab1fe3,307.7802748891627,9.3,45
8,MBTA Government Center Station,42.35960536922291,-71.05943986778493,The Freedom Trail,42.357314159016994,-71.06103847963261,Historic Site,4b41657df964a5203dc625e3,286.56480470575525,9.0,248
9,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Sam LaGrassa's,42.35687,-71.05996,Sandwich Place,4a4b77ddf964a52063ac1fe3,306.85219306556576,9.2,225
10,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Cafe Artigiano,42.358025,-71.05905,Italian Restaurant,58541f39ce593d53043e55d0,178.46190089204967,8.4,6
11,MBTA Government Center Station,42.35960536922291,-71.05943986778493,Boston Massacre Monument,42.35895538628799,-71.05697061186841,Monument / Landmark,4db0389a6e81a2637ed498b3,215.85775716051762,8.5,130
